locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU23700	yqjX	unknown	unknown	yqjX	LexA|	yqjWX		LexA|	TF-proteolyse|	-1|	DNA_Damage|	1|	conserved hypothetical protein
new_2625913_2626090_c	S959		intergenic region	S959
BSU32230	yuxL	unknown	unknown	yuxL			sigH|						putative acylaminoacyl-peptidase
BSU37760	rocC	"arginine, ornithine and citrulline uptake"	amino acid permease	rocC|ipa-78d	LexA|AbrB|	rocABC	sigL|	RocR|CodY|AhrC|AbrB|	TF+M|TF+M|TF+M|TF|	1|-1|1|-1|	Ornithine Citrulline|GTP isoleucine valine|arginine| @|	1 1|1 1 1|1|nan|	arginine/ornithine permease
BSU09110	yhcJ	unknown	unknown	yhcJ			sigK|						putative ABC transporter (binding lipoprotein)
new_3335006_3335393_c	S1251		independent transcript	S1251
new_3045331_3045396_c	S1140		intergenic region	S1140
new_1901856_1902166	S643		5'UTR of thyA	S643
BSU17910	yneF	unknown	unknown	yneF|yoxG	Spo0A|			Spo0A|LexA|	TF+PP|TF-proteolyse|	1|NaN|	nan|DNA_Damage|	nan|1|	conserved hypothetical protein
new_1721108_1721213	S589		5'UTR of uppS	S589
BSU15430	ileS	translation	isoleucyl-tRNA synthetase	ileS	T-box|	ileS		T-box-ILE|	RNA switch|	1|	tRNAile|	-1|	isoleucyl-tRNA synthetase
new_112499_112799	S46		intergenic region	S46
BSU02480	gudP	glucarate uptake	galactarate/glucarate transporter in (proton symport)	ycbE|gudP				YcbG|	TF+M|	-1|	D-Glucarate D-Galactarate|	-1 -1|	glucarate transporter
BSU17700	cotC	resistance of the spore	spore coat protein (outer)	cotC	SpoIIID|	cotC	sigK|	SpoIIID|GerE|	TF|TF|	-1|1|	nan| @|	nan|nan|	spore coat protein (outer)
BSU_misc_RNA_38	X.29	control of the gcvT-gcvPA-gcvPB operon		Gly-box|BSU_misc_RNA_38|BSU_misc_RNA_38|BSU_misc_RNA_38									Glycine
BSU30430	ytrD	unknown	"ABC transporter (hydrophobic protein, probably channel protein)"	ytrD	SigA|YtrA|	ytrABCDEF	sigA|	YtrA|	TF-M|	-1|	Ramoplanin::stress|	-1|	"ABC transporter, permease component"
BSU13169	ykzN	unknown	unknown	ykzN	Spo0A|SigB|								hypothetical protein
BSU02040	ybdN	unknown	unknown	ybdN	Spo0A|SigA|AbrB|			AbrB|	TF|	-1|	 @|	nan|	putative phage protein
BSU32720	yurZ	unknown	unknown	yurZ			sigG|						conserved hypothetical protein
BSU40750	yyaQ	unknown	unknown	yyaQ									conserved hypothetical protein
BSU23600	yqxK	unknown	unknown	yqxK|yqkH									conserved hypothetical protein
BSU23500	drm	utilization of deoxyribose	phosphopentomutase	drm|yqkN	SigA|CcpA|	drm-punA	sigA|	CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	phosphopentomutase
BSU03520	srfAD	antibiotic synthesis	surfactin synthetase / competence	srfAD|comL	CodY|	srfAA-srfAB-comS-srfAC-srfAD	sigA|	Spx|PerR|ComA|CodY|Abh|	TF+S|TF+S|TF-TC|TF+M|TF|	-1|1|1|-1|-1|	Thiol_specific_oxidative_stress::stress|Hydrogen_peroxide::stress|ComX|GTP isoleucine valine| @|	1|-1|1|1 1 1|nan|	surfactin synthetase
new_3446078_3446175_c	S1284		5'UTR of azoR2	S1284
new_1150647_1150849_c	S383		3'UTR of yisI	S383
BSU21800	ypkP	unknown	unknown	ypkP									putative acyltransferase
BSU40910	rpsF	translation	ribosomal protein S6 (BS9)	rpsF	stringent response|	yyaF-rpsF-ssb-rpsR		stringent response|ComK|	Nan|TF|	-1|1|	NaN| @|	nan|nan|	ribosomal protein S6 (BS9)
BSU15960	ylqB	control of entry into sporulation via the phosphorelay	inhibitor of entry into sporulation	sivC|ylqB		ylqB	sigD|	AbrB|	TF|	-1|	 @|	nan|	conserved hypothetical protein
BSU19780	cgeA	maturation of the outermost layer of the spore	spore crust protein	cgeA|cgeAA	SigK|	cgeAB	sigK|	GerR|GerE|	TF|TF|	1|1|	 @| @|	nan|nan|	spore outermost layer component
BSU33340	sspJ	protection of spore DNA	small acid-soluble spore protein (minor)	sspJ	SigG|SigG|	sspJ	sigG|						small acid-soluble spore protein
BSU04890	ydcT	unknown	unknown	ydcT	ImmR|								"conserved hypothetical protein, mobile element region"
BSU24390	spoIIIAE	activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]	component of a type III secretion system	spoIIIAE	SpoIIID|	yqhV-spoIIIAABCDEFGH	sigE|	GerR|SpoIIID|GerE|	TF|TF|TF|	-1|-1|-1|	 @|nan| @|	nan|nan|nan|	stage III sporulation protein
BSU07540	yfmA	unknown	unknown	yfmA
new_1680259_1680378	S582		intergenic region	S582
BSU20380	yorH	unknown	unknown	yorH									"hypothetical protein, phage SPbeta"
new_2908835_2909456_c	S1077	The antisense RNA of S938	intergenic region	S1077
BSU26089	yqzN	unknown	unknown	yqzN									"conserved hypothetical protein, skin element"
BSU01060	ybxB	unknown	unknown	ybxB|ybaA				stringent response|	Nan|	-1|	NaN|	nan|	ribosomal RNA methyltransferase
BSU02150	ybeF	unknown	unknown	ybeF									conserved hypothetical protein
new_1150516_1150645_c	S382		intergenic region	S382
new_2663336_2663531_c	S973		3'UTR of yqxJ	S973
BSU24210	yqiG	unknown	unknown	yqiG									putative NADH-dependent flavin oxidoreductase
new_1507447_1507538	S522		5'UTR of fruR	S522
BSU34120	ganB	galactan utilization	"endo-1,4-beta-galactosidase"	ganB|yvfO	CcpA|	yvfKLM-lacA-yvfO		LacR|CcpA|	TF+M|TF+PP+M|	-1|NaN|	"unk|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	secreted arabinogalactan oligomer endo-hydrolase
new_599344_599505_c	S192		intergenic region	S192
BSU09165	yhcO	unknown	unknown	yhcO	SigE|	yhcOP	sigK|sigE|						hypothetical protein
BSU07830	yfkO	protection against NaOCl stress	NADPH-flavin nitroreductase	hypO|yfkO			sigF|	HypR|	TF+S|	1|	Disulfide_stress_conditions::stress|	1|	NAD(P)H-flavin oxidoreductase
BSU14910	ctaE	respiration	cytochrome-c oxidase (subunit III)	ctaE	Xpf|AbrB|	ctaBCDEFG	sigA|	ResD|CcpA|AbrB|Abh|	TF-TC|TF+PP+M|TF|TF|	1|-1|-1|-1|	"Menaquinone|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @| @|"	1|1 1|nan|nan|	cytochrome caa3 oxidase (subunit III)
BSU19950	sspC	protection of spore DNA	small acid-soluble spore protein (minor alpha/beta-type SASP)	sspC	SigG|	sspC	sigG|	SpoVT|	TF|	1|	nan|	nan|	"small acid-soluble spore protein (alpha/beta-type SASP), SPbeta phage protein"
BSU32600	frlO	uptake of sugar amines	aminosugar ABC transporter (binding protein)	frlO|yurO	YlxR|			FrlR|CodY|	TF+M|TF+M|	-1|-1|	Fructoselysine6-phosphate|GTP isoleucine valine|	-1|1 1 1|	putative fructose amino acid-binding lipoprotein
BSU37900	spsB	spore coat polysaccharide synthesis	unknown	spsB|ipa-64d	SigA|SigA|SigA|SigE|		sigK|						putative dTDP glycosyl/glycerophosphate transferase
new_911330_911718_c	S286	The antisense RNA of cshB	independent transcript	S286
BSU13260	ykoH	unknown	two-component sensor kinase	ykoH									two-component sensor histidine kinase [YkoG]
BSU12920	dppA	degradation of cell wall peptides	D-alanyl-aminopeptidase	dppA|dciAA	CodY|	dppABCDE	sigA|	CodY|AbrB|	TF+M|TF|	-1|-1|	GTP isoleucine valine| @|	1 1 1|nan|	D-alanyl-aminopeptidase
new_343495_343573	S114		intergenic region	S114
new_3777872_3780532	S1420	The antisense RNA of yqfO	5'UTR of ywmA	S1420
BSU21080	yonI	unknown	unknown	yonI									"conserved hypothetical protein, phage SPbeta"
BSU40670	yybE	unknown	transcriptional regulator ([SW|LysR family])	yybE									putative transcriptional regulator (LysR family)
new_3862327_3866553	S1458	The antisense RNA of S947	5'UTR of hemQ	S1458
new_3666577_3666932_c	S1364		3'UTR of yvzH	S1364
BSU09400	spoVR	spore cortex synthesis	unknown	spoVR	SigE|	spoVR	sigE|						involved in spore cortex synthesis (stage V sporulation)
BSU19760	cgeD	maturation of the outermost layer of the spore	unknown	cgeD|cgeBB	SigD|	cgeCDE	sigK|	GerE|	TF|	1|	 @|	nan|	protein involved in maturation of the outermost layer of the spore
BSU06060	ydiO	BsuM DNA modification	unknown	ydiO	LexA|	ydiOP		LexA|	TF-proteolyse|	-1|	DNA_Damage|	1|	DNA-methyltransferase (cytosine-specific)
BSU38820	yxkF	unknown	unknown	yxkF	CcpA|	yxkF-msmX		CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	putative transcriptional regulator
new_2995911_2996282	S1110	The antisense RNA of sigA	intergenic region	S1110
BSU32400	yunG	unknown	unknown	yunG									conserved hypothetical protein
new_2767968_2768041_c	S1020		3'UTR of yrhP	S1020
BSU24050	bkdAA	utilization of branched-chain keto acids	2-oxoisovalerate dehydrogenase (E1 alpha subunit)	bkdAA|bfmBAA|bfmB1a|bkd	CodY|	ptb-bcd-buk-lpdV-bkdAABB	sigL|	CodY|BkdR|TnrA|	TF+M|TF+M|TF+P+M|	-1|1|-1|	GTP isoleucine valine|isoleucine valine|Glutamine|	1 1 1|1 1|-1|	branched-chain alpha-keto acid dehydrogenase E1 subunit
BSU24020	bmrR	regulation of multidrug resistance	transcriptional activator ([SW|MerR family])	bmrR	Mta|	bmrU-bmr-bmrR	sigB|sigA|	Mta|BmrR|	TF+M|TF+M|	1|1|	unk|Rhodamine6G::stress Tetraphenylphosphonium::stress|	nan|1|	transcriptional regulator (MerR family)
BSU33840	yvbF	regulation of choline uptake	transcription repressor	opcR|yvbF				*YvbF/YvaV*|	silico-TF+unk|	NaN|	unk|	nan|	putative transcriptional regulator
BSU36970	spoIIR	control of [[protein|SigE ]]activation	morphological chekcpoint for [[protein|SigE ]]processing	spoIIR|ipc-27d|csfX	SigD|SigF|	spoIIR	sigF|	RsfA|	P|	-1|	 @|	nan|	pro-sigma(E) endopeptidase (stage II sporulation)
BSU20520	yoqT	unknown	unknown	yoqT									"hypothetical protein, phage SPbeta"
new_2818161_2818445	S1044	The antisense RNA of ccpN	5'UTR of yrvJ	S1044
new_2723805_2723891_c	S1000		intergenic region	S1000
BSU17430	ynbA	rescuing of translationally arrested ribosomes	"GTP-binding protein, ribosome-splitting factor"	ynbA									putativeGTP-binding protein protease modulator
BSU16590	ylxS	ribosome maturation	unknown	ylxS|ymxA	stringent response|	ylxS-nusA-ylxRQ-infB-ylxP-rbfA	sigA|	stringent response|	Nan|	-1|	NaN|	nan|	putative RNA-binding protein
BSU29510	ytfI	unknown	sporulation protein	ytfI	SigF|	ytfIJ	sigF|						conserved hypothetical protein
BSU23680	yqjZ	unknown	unknown	yqjZ	LexA|								putative degradation enzyme (oxygenase)
BSU07990	yfjR	unknown	3-hydroxyisobutyrate dehydrogenase	yfjR	SigG|SacT|YclJ|			YclJ|	TF-TC|	1|	unk|	-1|	putative beta-hydroxyacid dehydrogenase
BSU21820	thyB	biosynthesis of thymidine nucleotides	thymidylate synthase B	thyB	CcpN|	Op127							thymidylate synthase B
new_1907202_1907287	S649		3'UTR of ynzB	S649
BSU12750	xkdV	unknown	unknown	xkdV	Xpf|								"conserved hypothetical protein, putative PBSX prophage protein"
new_129162_129283	S52		intergenic region	S52
BSU22430	panB	biosynthesis of coenzyme A	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB									ketopantoate hydroxymethyltransferase
BSU30659	ytzI	unknown	unknown	ytzI									hypothetical protein
BSU33470	bdbC	oxidative folding of proteins	thiol-disulfide oxidoreductase	bdbC|yvgU	SigE|	bdbDC	sigE|	ComK|	TF|	1|	 @|	nan|	thiol-disulfide oxidoreductase
BSU20999	yoyJ	unknown	toxin	yoyJ									"hypothetical protein, phage SPbeta"
BSU24040	bkdAB	utilization of branched-chain keto acids	2-oxoisovalerate dehydrogenase (E1 beta subunit)	bkdAB|bfmBAB|bfmB1b|bkd	CodY|	ptb-bcd-buk-lpdV-bkdAABB	sigL|	CodY|BkdR|TnrA|	TF+M|TF+M|TF+P+M|	-1|1|-1|	GTP isoleucine valine|isoleucine valine|Glutamine|	1 1 1|1 1|-1|	branched-chain alpha-keto acid dehydrogenase E1 subunit
BSU00330	yabA	positioning of [[protein|6740108089F13116F200C15F35C2E7561E990FEB]]	negative regulator of [[category|SW 3.1.1|replication]] initiation	yabA									subunit of the DNA replication complex
BSU34510	yvdQ	protection of the spore	putative spore coat protein	yvdQ	SigA|SigE|SigG|	yvdQ	sigG|						conserved hypothetical protein
BSU01590	ybaS	unknown	unknown	ybaS			sigE|	GerR|	TF|	-1|	 @|	nan|	putative sodium dependent transporter
new_599509_599874_c	S193		3'UTR of ydzR	S193
BSU05480	ydfN	unknown	unknown	mhqN|ydfN				MhqR|	TF+M|	-1|	Methylglyoxal::stress|	-1|	putative oxidoreductase
BSU13500	ktrD	potassium uptake	"low affinity potassium channel [[protein|15F9BF08762D28CBCD3D9748EFBD29B0D6FD7623]]-[[protein|A0952B75E5BD0D09B0F4C257822428640998558B]], integral membrane subunit"	ktrD|ykrM									K+-transporting ATPase
BSU09650	yhdZ	control of [[protein|AcsA ]]activity	NAD(+)-dependent deacetylase and lipoamidase	srtN|yhdZ									"putative NAD-dependent deacetylase, sirtuin"
BSU12340	uxuA	hexuronate utilization	D-mannonate hydrolyase	uxuA|yjmE	CcpA|	uxaC-yjmBCD-uxuA-yjmF-exuTR-uxaBA	sigE|sigA|	ExuR|CcpA|SpoIIID|	TF+M|TF+PP+M|TF|	-1|-1|-1|	"Galacturonate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|nan|"	-1|1 1|nan|	D-mannonate dehydratase
BSU27380	yrzB	unknown	unknown	yrzB	T-box|								putative anti-sigma factor
new_3923131_3923318	S1474		5'UTR of slrA	S1474
BSU04910	yddB	conjugative transfer of ICEBs1	part of the ICEBs1 conjugation machinery	conB|yddB									"conserved hypothetical protein, mobile element region"
BSU03910	gabD	utilization of gamma-amino butyric acid	succinate-semialdehyde dehydrogenase (NADP)	gabD|ycnH	GabR|	gabTD	sigA|sigB|	GabR|	TF+M|	1|	4-Aminobutanoate|	1|	succinate-semialdehyde dehydrogenase
BSU21890	ypgQ	degradation of excessive or abnormal nucleotides	Mn<sup>2+</sup>-dependent pyrophosphohydrolase	ypgQ			sigH|						putative metal-dependent phosphohydrolase
BSU25100	zur	"regulation of zinc homeostasis([[gene|75DB07A2704FEC2932BD0CDD24E2B3454E9551E1]], [[gene|D33A144568CAF32FFE4A2A46BE67573DB66FC1A1]]-[[gene|6B5D4FD32CCE72C99B915B0F1EB4B8E8D42A04B3]]-[[gene|EE212953BC83BD6D69BF769D6E917F4F954BE1E2]])"	transcriptional repressor ([SW|Fur family])	zur|yqfV									transcriptional regulator (Fur family)
BSU19749	yoyG	unknown	unknown	yoyG	CymR|SigD|								conserved hypothetical protein
BSU03050	ldh	"overflow metabolism, fermentation"	L-lactate dehydrogenase	ldh|lctE	Rex|	ldh-lctP	sigA|	Rex|ResD|ArfM|AlsR|Fnr|	TF+M|TF-TC|TF|TF+M|TF+M|	-1|1|1|1|NaN|	NADH NAD|Menaquinone| @|acetate|Oxygen|	1 1|1|nan|1|-1|	L-lactate dehydrogenase
BSU_misc_RNA_41	X.32	antagonist of [[protein|360F48D576DE950DF79C1A2677B7A35A8D8CC30C]]	6S RNA	bsrA|6S-1 RNA									6Sb RNA
new_3263403_3263797	S1220	The antisense RNA of hemN	5'UTR of yuzE	S1220
BSU40980	yyaB	unknown	unknown	yyaB									putative integral inner membrane protein
BSU27810	yrbD	uptake of alanine	sodium/proton-dependent alanine transporter	yrbD	SigA|SigA|TnrA|		sigE|	TnrA|	TF+P+M|	NaN|	Glutamine|	-1|	sodium/proton-dependent alanine transporter
new_3105438_3105878	S1157	The antisense RNA of spoIIP	independent transcript	S1157
BSU20950	yopB	unknown	unknown	yopB									"putative transcriptional regulator, phage SPbeta"
BSU39910	yxnB	unknown	unknown	yxnB	SigA|YlaC|SigG|CtsR|CodY|AbrB|	yxbBA-yxnB-asnH-yxaM		CodY|AbrB|	TF+M|TF|	-1|-1|	GTP isoleucine valine| @|	1 1 1|nan|	hypothetical protein
BSU16790	tepA	degradation of SASPs	germination protease	tepA|ymfB|ylxI	SigG|		sigG|	SpoVT|	TF|	-1|	nan|	nan|	protein export-enhancing factor
BSU08170	yfjA	unknown	unknown	yfjA									conserved hypothetical protein
BSU28370	rph	3-5 exoribonuclease	RNase PH (EC 2.7.7.56)	rph									ribonuclease PH
BSU40460	yyzB	unknown	unknown	yyzB									hypothetical protein
BSU40290	yycN	unknown	unknown	yycN			sigE|						putative N-acetyltransferase
BSU20750	yopV	unknown	unknown	yopV									"hypothetical protein, phage SPbeta"
BSU32370	yunD	unknown	unknown	yunD									putative nuclease/nucleotidase/phosphoesterase
BSU12380	uxaB	hexuronate utilization	tagaturonate reductase	uxaB|yjmI	RocR|CcpA|	uxaC-yjmBCD-uxuA-yjmF-exuTR-uxaBA	sigE|sigA|	ExuR|CcpA|SpoIIID|	TF+M|TF+PP+M|TF|	-1|-1|-1|	"Galacturonate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|nan|"	-1|1 1|nan|	tagaturonate reductase (altronate oxidoreductase)
BSU19570	yodE	resistance to methyl hydroquinone and catechol	dioxygenase/glyoxalase	mhqE|yodE				MhqR|	TF+M|	-1|	Methylglyoxal::stress|	-1|	putative lyase/dioxygenase
new_304308_304389_c	S104		5'UTR of cwlK	S104
BSU38100	ywcH	unknown	unknown	ywcH|ipa-44d	SigG|SigD|	nfrA-ywcH	sigD|sigA|	Spx|Spo0A|	TF+S|TF+PP|	1|-1|	Thiol_specific_oxidative_stress::stress|nan|	1|nan|	putative monooxygenase
BSU21310	yozP	unknown	unknown	yozP									"hypothetical protein, phage SPbeta"
new_2388935_2389134_c	S863		independent transcript	S863
BSU05010	rapI	control of transfer of the mobile genetic element ICEBs1	response regulator aspartate phosphatase	rapI|yddL	SigH|	rapI-phrI	sigH|sigA|						"response regulator aspartate phosphatase, mobile element region"
BSU17920	ynzD	control of sporulation initiation	Spo0A-P phosphatase	ynzD	YodB|AbrB|			AbrB|	TF|	-1|	 @|	nan|	Spo0A-P phosphatase
new_490527_490638_c	S144		independent transcript	S144
BSU18770	cyeA	unknown	putative cysteine and O-acetyl serine efflux permease	yoaV|cyeA									cysteine and O-acetyl serine efflux permease
BSU09200	yhcS	anchoring of proteins to the cell wall	sortase	yhcS			sigH|						"putative secreted enzyme, sortase"
BSU04550	ydbP	unknown	unknown	ydbP		ydbP	sigB|						putative thioredoxin or thiol-disulfide isomerase
new_1240279_1240355	S419		5'UTR of yjbQ	S419
BSU22800	spoIVA	initiation of spore coat assembly	"ATPase, basement layer protein for spore coat assembly"	spoIVA|spoVP	SigE|SigW|SpoIIID|	spoIVA	sigE|	SpoIIID|	TF|	-1|	nan|	nan|	morphogenetic stage IV sporulation protein
new_2338392_2338537	S842		5'UTR of yppF	S842
BSU05170	ydeE	unknown	unknown	ydeE									putative transcriptional regulator (AraC/XylS family)
BSU14100	ykuJ	unknown	unknown	ykuJ	CcpA|	ykuJK-ykzF-ykuL-ccpC	sigA|	Spo0A|CcpC|CcpA|	TF+PP|TF+ADN-M|TF+PP+M|	1|-1|-1|	"nan|Citrate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|-1|1 1|	conserved hypothetical protein
new_3451133_3451197_c	S1286		5'UTR of ssrA	S1286
BSU34740	crh	control of carbon flux	carbon-flux regulating HPr	crh|yvcM	CcpA|								catabolite repression HPr-like protein
BSU14290	mobB	nitrate respiration	molybdenum cofactor synthesis protein	mobB									molybdopterin-guanine dinucleotide biosynthesis protein B
BSU08960	yhbF	assembly of the flagellar hook and filament	bactofilin	yhbF|yzdB									conserved hypothetical protein
BSU31100	ktrB	potassium uptake	"high affinity potassium channel KtrA-KtrB, integral membrane subunit"	ktrB|yubG	SpoIIID|ydaO riboswitch|			YdaO riboswitch|	riboswitch|	1|	ATP|	1|	potassium transporter ATPase
BSU27750	bofC	control of processing of pro-SigK by [[protein|8801B095C2CE36F3E0B9DBBF489FFB217087DC0A]]	forespore regulator of the [[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4|sigma-K]] checkpoint	bofC	SigG|CcpA|	csbX-bofC	sigG|sigF|sigB|	CcpA|SpoVT|	TF+PP+M|TF|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|nan|"	1 1|nan|	"Bypass of forespore C, intercompartmental signaling factor"
BSU32090	yuiA	unknown	unknown	yuiA|yumA	CodY|			CodY|TnrA|	TF+M|TF+P+M|	-1|NaN|	GTP isoleucine valine|Glutamine|	1 1 1|-1|	conserved hypothetical protein
BSU13420	ykoW	synthesis of c-di-GMP	diguanylate cyclase and potential phosphodiesterase	dgcW|ykoW			sigK|						putative sensor protein
BSU_misc_RNA_13	X.9			BSU_misc_RNA_13									T-box
BSU32460	pucM	purine utilization	uricase	pucM|yunM	TnrA|	pucRJKLM	sigA|	TnrA|PucR|	TF+P+M|TF+M|	1|1|	Glutamine|Allantoin Urate Allantoate|	-1|1 1 1|	urate oxidase structural factor
BSU14680	ykzC	unknown	unknown	ykzC	SigB|								conserved hypothetical protein
new_2385822_2386047_c	S861		5'UTR of hbs	S861
new_60361_60429	S34		intergenic region	S34
new_2996284_2996678	S1111	The antisense RNA of yqcK	5'UTR of ytpI	S1111
BSU37580	ywgB	unknown	unknown	ywgB									putative transcriptional regulator
BSU33980	yvbT	unknown	unknown	yvbT									putative alkanal monooxygenase
BSU07890	yfkI	protection against paraquat stress	unknown	yfkI	Spo0A|SigB|	yfkJIH	sigB|sigA|						conserved hypothetical protein
BSU02240	mpr	protein degradation	extracellular metalloprotease	mpr	SigA|SigE|CodY|		sigE|	SpoIIID|	TF|	1|	nan|	nan|	extracellular metalloprotease
BSU33040	fumC	TCA cycle	fumarate hydratase	citG		citG	sigH|sigA|sigA|	CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	fumarate hydratase
BSU16360	fliQ	flagellum and nanotube assembly	part of the type III CORE export apparatus	fliQ	SigG|DegU|	fla-che	sigD|sigA|	Spo0A|CodY|	TF+PP|TF+M|	-1|-1|	nan|GTP isoleucine valine|	nan|1 1 1|	component of the flagellar export machinery
BSU27480	yrrC	replication fork progression	5'-3' DNA helicase	recD2|yrrC									putative exonuclease with DNA/RNA helicase motif
BSU01560	kbaA	control of sporulationinitiation	effector of [[protein|KinB ]]activity	kbaA|ybxC|ybaM			sigE|	SpoIIID|	TF|	-1|	nan|	nan|	inner membrane protein involved in activation of the KinB signaling pathway to sporulation
BSU27350	yrrN	introduction of 5-methoxyuridine modification in tRNA (U34)	tRNA uridine hydroxylase	yrrN									putative hydrolase
BSU20390	yorG	unknown	unknown	yorG									"hypothetical protein, phage SPbeta"
new_3035475_3036308_c	S1134	The antisense RNA of S974	3' of S1136	S1134	SigA|SigB|
BSU08360	yfiQ	unknown	unknown	yfiQ									putative membrane component involved in biofilm formation
BSU33010	cssR	control of cellular responses to protein secretion stress	two-component response regulator ([SW|OmpR family])	cssR|yvqA	CssR|	cssRS	sigA|	CssR|	TF-TC|	1|	 @|	nan|	two-component response regulator
BSU40140	yydJ	control of [[protein|49E70A20CC05DBE485953C0AE34E634EFB33C3B2]]-[[protein|9A1871BD853254EEA8B4E78CA187F9315CBDF43D]] activity	"ABC transporter, permease"	yydJ	AbrB|	yydFGHIJ	sigA|	Rok|AbrB|	TF|TF|	-1|-1|	 @| @|	nan|nan|	putative permease for export of a regulatory peptide
BSU27220	yrhE	unknown	unknown	yrhE									putative oxido-reductase
BSU32290	yutF	unknown	p-nitrophenyl phosphatase	yutF	ComK|SigA|								putative p-nitrophenyl phosphatase
BSU25220	antE	unknown	unknown	antE	Spo0A|AbrB|	antE	sigA|	AbrB|	TF|	-1|	 @|	nan|	hypothetical protein
BSU16940	recA	DNA repair/ recombination	multifunctional protein involved in homologous recombination and DNA repair ([[protein|D267AF38B0CF107042326E9B8F3DD3C9C85840E4]]-autocleavage)	recA|recE	SigA|LexA|	recA	sigA|	LexA|ComK|	TF-proteolyse|TF|	-1|1|	DNA_Damage| @|	1|nan|	multifunctional SOS repair factor
BSU31300	yugS	unknown	unknown	yugS									putative membrane protein involved in divalent ion export
BSU02730	natK	regulation of the [[gene|B019FD0CB6F76C03DA5E76ABD1B324BA5E1A6936]]-[[gene|A8ADA02BBB549866DE330040CF6D06ECC3B00099]] operon	two-component sensor kinase	natK|yccG									two-component sensor histidine kinase [NatR]
BSU00430	yabG	modification of spore coat proteins	protease	yabG	SigK|	yabG	sigK|						sporulation-specific protease
BSU37410	albE	antilisterial bacteriocin (subtilosin) production	processing protease	albE|ywhO	AbrB|	sboAX-albABCDEFG	sigA|	Rok|ResD|AbrB|	TF|TF-TC|TF|	-1|1|-1|	 @|Menaquinone| @|	nan|1|nan|	putative hydrolase involved in subtilosin production
BSU04560	ddl	peptidoglycan precursor biosynthesis	D-alanine-D-alanine ligase	ddl|ddlA	SigV|	Op210	sigM|						D-alanyl-D-alanine ligase A
BSU01510	ybaJ	unknown	unknown	ybaJ	TnrA|AbrB|			AbrB|	TF|	-1|	 @|	nan|	putative methyltransferase
BSU19689	yokU	unknown	unknown	yokU	SigE|		sigE|						conserved hypothetical protein
BSU21420	bhlA	unknown	holin-like protein	bhlA|yomB									bacteriophage SPbeta holin-like protein
BSU21960	ypeQ	unknown	unknown	ypeQ									conserved hypothetical protein
BSU27910	yszB	control of threonine biosynthesis	transcription repressor  of threonine biosynthetic genes	thrR|pheB|yszB									"conserved hypothetical protein containing an ACT domain, not chorismate mutase"
BSU31280	yugU	survival of stress conditions	unknown	yugU	CodY|SigV|		sigB|						conserved hypothetical protein
BSU28030	mreB	[SW|cell shape] determination	[SW|cell shape]-determining protein	mreB|divIVB	Xpf|CymR|SigH|	mreBCD-minCD	sigM|sigH|						cell-shape determining protein
BSU33430	cysI	sulfite reduction	sulfite reductase (NADPH<sub>2</sub>)	cysI|yvgR	CysL|	yvgRQ	sigA|	CysL|YetL|	TF+M|TF+M|	1|NaN|	unk|Flavonoids::stress|	-1|-1|	sulfite reductase (hemoprotein beta-subunit)
new_834310_834382	S262		5'UTR of citM	S262
BSU17160	pksH	polyketide synthesis	unknown	pksH	Thi-box|CcpA|AbrB|								dehydratase for polyketide biosynthesis
BSU36580	ywnF	unknown	unknown	ywnF			sigK|sigF|						conserved hypothetical protein
BSU07100	lplA	unknown	unknown	lplA				CcpA|	TF+PP+M|	NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	lipoprotein
BSU04780	ydcI	unknown	unknown	ydcI				SpoIIID|	TF|	1|	nan|	nan|	putative RNA helicase
BSU10540	ntdB	synthesis of the antibiotic kanosamine	kanosamine-6-phosphate phosphatase	ntdB|yhjK	NtdR|	ntdABC-glcP	sigA|sigE|	NtdR|GerR|	TF+M|TF|	1|-1|	3-3-neotrehalosadiamine| @|	1|nan|	"biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha,beta-trehalose), hydrolase"
BSU07150	yetG	degradation of heme	heme monooxygenase	hmoA|yetG				Fur|	TF+M|	-1|	Iron|	1|	putative monooxygenase
BSU27468	yrzQ	unknown	unknown	yrzQ	Xpf|SigF|								conserved hypothetical protein
new_2098330_2098837	S738	The antisense RNA of yqbG	intergenic region	S738
